CMDLINE /app/.heroku/python/bin/python app.py
MEM 24.472656 1525308221.2477
MEM 24.472656 1525308221.3483
MEM 24.472656 1525308221.4489
MEM 24.472656 1525308221.5494
MEM 24.472656 1525308221.6499
MEM 24.472656 1525308221.7505
MEM 24.472656 1525308221.8511
MEM 24.472656 1525308221.9516
MEM 24.472656 1525308222.0521
MEM 24.472656 1525308222.1526
MEM 24.472656 1525308222.2532
MEM 24.472656 1525308222.3537
MEM 24.472656 1525308222.4544
MEM 24.472656 1525308222.5549
MEM 24.472656 1525308222.6555
MEM 24.472656 1525308222.7561
MEM 24.472656 1525308222.8568
MEM 24.472656 1525308222.9573
MEM 24.472656 1525308223.0578
MEM 24.472656 1525308223.1613
MEM 24.472656 1525308223.2618
MEM 24.472656 1525308223.3624
MEM 24.472656 1525308223.4629
MEM 24.472656 1525308223.5634
MEM 24.472656 1525308223.6640
MEM 24.472656 1525308223.7645
MEM 24.472656 1525308223.8650
MEM 24.472656 1525308223.9655
MEM 24.472656 1525308224.0660
MEM 24.472656 1525308224.1666
MEM 24.472656 1525308224.2672
MEM 24.472656 1525308224.3678
MEM 24.472656 1525308224.4683
MEM 24.472656 1525308224.5688
MEM 24.472656 1525308224.6694
MEM 24.472656 1525308224.7699
MEM 24.472656 1525308224.8705
MEM 24.472656 1525308224.9711
MEM 24.472656 1525308225.0716
MEM 24.472656 1525308225.1721
MEM 24.472656 1525308225.2726
MEM 24.472656 1525308225.3731
MEM 24.472656 1525308225.4735
MEM 24.472656 1525308225.5740
MEM 24.472656 1525308225.6747
MEM 24.472656 1525308225.7753
MEM 24.472656 1525308225.8758
MEM 24.472656 1525308225.9763
MEM 24.472656 1525308226.0769
MEM 24.472656 1525308226.1776
MEM 24.472656 1525308226.2781
MEM 24.472656 1525308226.3786
MEM 24.472656 1525308226.4791
MEM 24.472656 1525308226.5796
MEM 24.472656 1525308226.6801
MEM 24.472656 1525308226.7826
MEM 24.472656 1525308226.8831
MEM 24.472656 1525308226.9836
MEM 24.472656 1525308227.0842
MEM 24.472656 1525308227.1846
MEM 24.472656 1525308227.2852
MEM 24.472656 1525308227.3857
MEM 24.472656 1525308227.4865
MEM 24.472656 1525308227.5870
MEM 24.472656 1525308227.6876
MEM 24.472656 1525308227.7881
MEM 24.472656 1525308227.8887
MEM 24.472656 1525308227.9893
MEM 24.472656 1525308228.0898
MEM 24.472656 1525308228.1906
MEM 24.472656 1525308228.2911
MEM 24.472656 1525308228.3917
MEM 24.472656 1525308228.4923
MEM 24.472656 1525308228.5927
MEM 24.472656 1525308228.6932
MEM 24.472656 1525308228.7937
MEM 24.472656 1525308228.8944
MEM 24.472656 1525308228.9949
MEM 24.472656 1525308229.0954
MEM 24.472656 1525308229.1960
MEM 24.472656 1525308229.2966
MEM 24.472656 1525308229.3971
MEM 24.472656 1525308229.4975
MEM 24.472656 1525308229.5981
MEM 24.472656 1525308229.6987
MEM 24.472656 1525308229.7992
MEM 24.472656 1525308229.8997
MEM 24.472656 1525308230.0003
MEM 24.472656 1525308230.1008
MEM 24.472656 1525308230.2013
MEM 24.472656 1525308230.3019
MEM 24.472656 1525308230.4026
MEM 24.472656 1525308230.5031
MEM 24.472656 1525308230.6036
MEM 24.472656 1525308230.7042
MEM 24.472656 1525308230.8048
MEM 24.472656 1525308230.9053
MEM 24.472656 1525308231.0058
MEM 24.472656 1525308231.1065
MEM 24.472656 1525308231.2070
MEM 24.472656 1525308231.3076
MEM 24.472656 1525308231.4081
MEM 24.472656 1525308231.5086
MEM 24.472656 1525308231.6091
MEM 24.472656 1525308231.7096
MEM 24.472656 1525308231.8100
MEM 24.472656 1525308231.9106
MEM 24.472656 1525308232.0111
MEM 24.472656 1525308232.1116
MEM 24.472656 1525308232.2120
MEM 24.472656 1525308232.3125
MEM 24.472656 1525308232.4130
MEM 24.472656 1525308232.5135
MEM 24.472656 1525308232.6141
MEM 24.472656 1525308232.7146
MEM 24.472656 1525308232.8153
MEM 24.472656 1525308232.9158
MEM 24.472656 1525308233.0163
MEM 24.472656 1525308233.1171
MEM 24.472656 1525308233.2181
MEM 24.472656 1525308233.3186
MEM 24.472656 1525308233.4193
MEM 24.472656 1525308233.5198
MEM 24.472656 1525308233.6203
MEM 24.472656 1525308233.7208
MEM 24.472656 1525308233.8214
MEM 24.472656 1525308233.9219
MEM 24.472656 1525308234.0224
MEM 24.472656 1525308234.1229
MEM 24.472656 1525308234.2234
MEM 24.472656 1525308234.3240
MEM 24.472656 1525308234.4245
MEM 24.472656 1525308234.5250
MEM 24.472656 1525308234.6255
MEM 24.472656 1525308234.7260
MEM 24.472656 1525308234.8266
MEM 24.472656 1525308234.9271
MEM 24.472656 1525308235.0276
MEM 24.472656 1525308235.1281
MEM 24.472656 1525308235.2286
MEM 24.472656 1525308235.3291
MEM 24.472656 1525308235.4296
MEM 24.472656 1525308235.5300
MEM 24.472656 1525308235.6311
MEM 24.472656 1525308235.7317
MEM 24.472656 1525308235.8322
MEM 24.472656 1525308235.9327
MEM 24.472656 1525308236.0333
MEM 24.472656 1525308236.1338
MEM 24.472656 1525308236.2348
MEM 24.472656 1525308236.3354
MEM 24.472656 1525308236.4369
MEM 24.472656 1525308236.5376
MEM 24.472656 1525308236.6383
MEM 24.472656 1525308236.7388
MEM 24.472656 1525308236.8393
MEM 24.472656 1525308236.9398
MEM 24.472656 1525308237.0403
MEM 24.472656 1525308237.1408
MEM 24.472656 1525308237.2413
MEM 24.472656 1525308237.3418
